{name:2ndLeft1            , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:20240911-222121     , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:20240911-222629     , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:20240911-222405     , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:2ndLeft3            , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:2ndStair-uneven     , testing: True, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:2                   , testing: True, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:20240911-221513     , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:cafeCorner1         , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:atrium2             , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:0                   , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:3                   , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:sim1                , testing: False, dynLoss: 298.13, colRisk: 0.3763, smoothness: 3.8691, disVar: 0.0073}
{name:atrium1             , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:20240911-222200     , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:1                   , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:20240911-222757     , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:car2                , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:20240911-221051     , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:20240911-221834     , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:20240911-221313     , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:20240911-223049     , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:3rdLeft-Col         , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:20240911-221929     , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:cafeCorner2         , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:2ndRight            , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:4                   , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
{name:car1                , testing: False, dynLoss: nan, colRisk: nan, smoothness: nan, disVar: nan}
