{name:2ndLeft1            , testing: False, dynLoss: 1.0316, colRisk: 10.426, smoothness: 2.7838, disVar: 0.0324}
{name:20240911-222121     , testing: False, dynLoss: 1.0414, colRisk: 7.1532, smoothness: 2.9525, disVar: 0.0016}
{name:20240911-222405     , testing: False, dynLoss: 1.4409, colRisk: 11.097, smoothness: 3.5609, disVar: 0.0117}
{name:2ndLeft3            , testing: False, dynLoss: 1.1870, colRisk: 19.411, smoothness: 7.8219, disVar: 0.0068}
{name:2ndStair-uneven     , testing: True, dynLoss: 1.4950, colRisk: 12.526, smoothness: 0.0005, disVar: 0.0906}
{name:2                   , testing: True, dynLoss: 2.2673, colRisk: 25.967, smoothness: 8.2177, disVar: 0.0031}
{name:20240911-221513     , testing: False, dynLoss: 0.6593, colRisk: 10.722, smoothness: 1.0307, disVar: 0.0021}
{name:cafeCorner1         , testing: False, dynLoss: 1.1833, colRisk: 10.306, smoothness: 3.0710, disVar: 0.0176}
{name:atrium2             , testing: False, dynLoss: 1.0863, colRisk: 18.466, smoothness: 2.4527, disVar: 0.0106}
{name:test2               , testing: True, dynLoss: 1.4935, colRisk: 5.1747, smoothness: 1.8230, disVar: 0.0195}
{name:0                   , testing: False, dynLoss: 0.9002, colRisk: 34.395, smoothness: 0.0005, disVar: 0.0786}
{name:3                   , testing: False, dynLoss: 2.1186, colRisk: 2.2809, smoothness: 1.5103, disVar: 0.2079}
{name:atrium1             , testing: False, dynLoss: 1.3229, colRisk: 10.701, smoothness: 1.2764, disVar: 0.0042}
{name:20240911-222200     , testing: False, dynLoss: 0.3314, colRisk: 6.3662, smoothness: 2.7418, disVar: 0.0003}
{name:1                   , testing: False, dynLoss: 2.0810, colRisk: 39.492, smoothness: 3.7008, disVar: 0.0427}
{name:20240911-222757     , testing: False, dynLoss: 0.6751, colRisk: 9.1874, smoothness: 3.3803, disVar: 0.0013}
{name:car2                , testing: False, dynLoss: 1.1040, colRisk: 16.063, smoothness: 1.0103, disVar: 0.0016}
{name:20240911-221834     , testing: False, dynLoss: 1.2143, colRisk: 21.660, smoothness: 1.5248, disVar: 0.0008}
{name:20240911-223049     , testing: False, dynLoss: 1.2451, colRisk: 16.995, smoothness: 1.0730, disVar: 0.0062}
{name:3rdLeft-Col         , testing: False, dynLoss: 1.0529, colRisk: 24.364, smoothness: 2.3780, disVar: 0.0185}
{name:20240911-221929     , testing: False, dynLoss: 0.7652, colRisk: 4.3239, smoothness: 7.0226, disVar: 0.0007}
{name:cafeCorner2         , testing: False, dynLoss: 0.5268, colRisk: 12.397, smoothness: 3.2125, disVar: 0.0053}
{name:2ndRight            , testing: False, dynLoss: 1.0721, colRisk: 21.681, smoothness: 2.3433, disVar: 0.0058}
{name:4                   , testing: False, dynLoss: 1.9303, colRisk: 21.683, smoothness: 1.6093, disVar: 0.0618}
{name:car1                , testing: False, dynLoss: 1.0120, colRisk: 23.332, smoothness: 4.8134, disVar: 0.0274}
{name:car3                , testing: False, dynLoss: 0.8874, colRisk: 9.3239, smoothness: 6.7897, disVar: 0.0015}
{name:test1               , testing: True, dynLoss: 1.0445, colRisk: 6.8709, smoothness: 9.3933, disVar: 0.0015}
{name:20240911-221617     , testing: False, dynLoss: 1.0424, colRisk: 13.900, smoothness: 6.8739, disVar: 0.0050}
{name:2ndLeft2            , testing: True, dynLoss: 1.4689, colRisk: 10.862, smoothness: 2.6062, disVar: 0.0020}
