{name:2ndLeft1            , testing: False, dynLoss: 2.3902, colRisk: 7.7500, smoothness: 2.1274, disVar: 0.0242}
{name:20240911-222121     , testing: False, dynLoss: 2.5921, colRisk: 8.9421, smoothness: 2.9840, disVar: 0.0010}
{name:20240911-222405     , testing: False, dynLoss: 6.4839, colRisk: 8.3979, smoothness: 3.4385, disVar: 0.0115}
{name:2ndLeft3            , testing: False, dynLoss: 1.6487, colRisk: 18.681, smoothness: 1.1325, disVar: 0.0057}
{name:2ndStair-uneven     , testing: True, dynLoss: 3.7262, colRisk: 13.434, smoothness: 0.0001, disVar: 0.0870}
{name:2                   , testing: True, dynLoss: 2.8811, colRisk: 26.253, smoothness: 7.9853, disVar: 0.0027}
{name:20240911-221513     , testing: False, dynLoss: 2.6565, colRisk: 10.259, smoothness: 1.1075, disVar: 0.0029}
{name:cafeCorner1         , testing: False, dynLoss: 6.5439, colRisk: 10.246, smoothness: 3.6420, disVar: 0.0183}
{name:atrium2             , testing: False, dynLoss: 2.5926, colRisk: 16.251, smoothness: 2.4432, disVar: 0.0084}
{name:test2               , testing: True, dynLoss: 4.5160, colRisk: 3.9725, smoothness: 1.7703, disVar: 0.0187}
{name:0                   , testing: False, dynLoss: 3.3104, colRisk: 33.164, smoothness: 0.0007, disVar: 0.0558}
{name:3                   , testing: False, dynLoss: 13.131, colRisk: 16.298, smoothness: 1.4726, disVar: 0.1854}
{name:atrium1             , testing: False, dynLoss: 5.7519, colRisk: 13.770, smoothness: 1.1264, disVar: 0.0036}
{name:20240911-222200     , testing: False, dynLoss: 0.4196, colRisk: 6.2790, smoothness: 2.1328, disVar: 0.0006}
{name:1                   , testing: False, dynLoss: 4.0776, colRisk: 38.242, smoothness: 6.1974, disVar: 0.0424}
{name:20240911-222757     , testing: False, dynLoss: 0.7816, colRisk: 8.7316, smoothness: 2.6499, disVar: 0.0016}
{name:car2                , testing: False, dynLoss: 1.3807, colRisk: 15.301, smoothness: 5.9872, disVar: 0.0020}
{name:20240911-221834     , testing: False, dynLoss: 2.1061, colRisk: 21.428, smoothness: 2.1509, disVar: 0.0013}
{name:20240911-223049     , testing: False, dynLoss: 1.6913, colRisk: 16.434, smoothness: 8.8960, disVar: 0.0045}
{name:3rdLeft-Col         , testing: False, dynLoss: 2.3808, colRisk: 23.282, smoothness: 2.2096, disVar: 0.0181}
{name:20240911-221929     , testing: False, dynLoss: 3.3774, colRisk: 5.1725, smoothness: 6.1357, disVar: 0.0009}
{name:cafeCorner2         , testing: False, dynLoss: 0.6876, colRisk: 11.855, smoothness: 2.5688, disVar: 0.0038}
{name:2ndRight            , testing: False, dynLoss: 1.2664, colRisk: 22.700, smoothness: 2.0648, disVar: 0.0045}
{name:4                   , testing: False, dynLoss: 3.5589, colRisk: 21.326, smoothness: 1.5557, disVar: 0.0593}
{name:car1                , testing: False, dynLoss: 2.4289, colRisk: 20.753, smoothness: 8.8631, disVar: 0.0294}
{name:car3                , testing: False, dynLoss: 1.0146, colRisk: 10.106, smoothness: 6.3289, disVar: 0.0014}
{name:test1               , testing: True, dynLoss: 2.8812, colRisk: 5.7840, smoothness: 9.1441, disVar: 0.0019}
{name:20240911-221617     , testing: False, dynLoss: 1.9113, colRisk: 13.259, smoothness: 6.6571, disVar: 0.0049}
{name:2ndLeft2            , testing: True, dynLoss: 1.4301, colRisk: 10.722, smoothness: 2.5809, disVar: 0.0019}
{name:3rdLeft2-Col        , testing: False, dynLoss: 1.1491, colRisk: 12.391, smoothness: 1.5553, disVar: 0.0066}
Epoch 0 done at 2024-09-12-20-47-00
{name:2ndLeft1            , testing: False, dynLoss: 1.4145, colRisk: 5.7474, smoothness: 1.3304, disVar: 0.0150}
{name:20240911-222121     , testing: False, dynLoss: 1.2593, colRisk: 7.8813, smoothness: 3.0252, disVar: 0.0018}
{name:20240911-222405     , testing: False, dynLoss: 6.9610, colRisk: 6.4225, smoothness: 1.1747, disVar: 0.0083}
{name:2ndLeft3            , testing: False, dynLoss: 1.1709, colRisk: 15.049, smoothness: 7.3889, disVar: 0.0044}
{name:2ndStair-uneven     , testing: True, dynLoss: 3.4974, colRisk: 13.045, smoothness: 2.7914, disVar: 0.0733}
{name:2                   , testing: True, dynLoss: 1.8967, colRisk: 26.294, smoothness: 7.7062, disVar: 0.0027}
{name:20240911-221513     , testing: False, dynLoss: 1.9552, colRisk: 11.092, smoothness: 1.9559, disVar: 0.0044}
{name:cafeCorner1         , testing: False, dynLoss: 5.8606, colRisk: 8.7757, smoothness: 1.2790, disVar: 0.0094}
{name:atrium2             , testing: False, dynLoss: 1.7394, colRisk: 8.3613, smoothness: 3.1916, disVar: 0.0075}
{name:test2               , testing: True, dynLoss: 3.8766, colRisk: 3.9050, smoothness: 1.6950, disVar: 0.0177}
{name:0                   , testing: False, dynLoss: 2.9956, colRisk: 34.873, smoothness: 0.0004, disVar: 0.0520}
