{name:2ndLeft1            , testing: False, dynLoss: 1.9762, colRisk: 6.1609, smoothness: 4.9572, disVar: 0.0470}
{name:20240911-222121     , testing: False, dynLoss: 1.1954, colRisk: 8.8104, smoothness: 2.8378, disVar: 0.0022}
{name:20240911-222405     , testing: False, dynLoss: 1.5126, colRisk: 11.085, smoothness: 2.0879, disVar: 0.0135}
{name:2ndLeft3            , testing: False, dynLoss: 0.9945, colRisk: 23.337, smoothness: 8.7736, disVar: 0.0086}
{name:2ndStair-uneven     , testing: True, dynLoss: 1.4122, colRisk: 11.517, smoothness: 0.0006, disVar: 0.0926}
{name:2                   , testing: True, dynLoss: 2.7114, colRisk: 23.328, smoothness: 8.6390, disVar: 0.0036}
{name:20240911-221513     , testing: False, dynLoss: 1.3160, colRisk: 11.421, smoothness: 2.7212, disVar: 0.0049}
{name:cafeCorner1         , testing: False, dynLoss: 1.1577, colRisk: 9.3561, smoothness: 9.4254, disVar: 0.0115}
{name:atrium2             , testing: False, dynLoss: 1.3286, colRisk: 11.595, smoothness: 4.2580, disVar: 0.0166}
{name:test2               , testing: True, dynLoss: 1.3718, colRisk: 5.1469, smoothness: 1.8521, disVar: 0.0196}
{name:0                   , testing: False, dynLoss: 1.0653, colRisk: 35.245, smoothness: 0.0004, disVar: 0.0926}
{name:3                   , testing: False, dynLoss: nan, colRisk: nan, smoothness: 5.4016, disVar: 0.3748}
{name:atrium1             , testing: False, dynLoss: 1.4798, colRisk: 9.4001, smoothness: 1.1039, disVar: 0.0048}
{name:20240911-222200     , testing: False, dynLoss: 0.2638, colRisk: 5.5721, smoothness: 1.4460, disVar: 0.0003}
{name:1                   , testing: False, dynLoss: 2.4149, colRisk: 29.502, smoothness: 5.3852, disVar: 0.0268}
{name:20240911-222757     , testing: False, dynLoss: 0.3156, colRisk: 11.452, smoothness: 2.0578, disVar: 0.0004}
{name:car2                , testing: False, dynLoss: 1.0033, colRisk: 17.293, smoothness: 1.2980, disVar: 0.0025}
{name:20240911-221834     , testing: False, dynLoss: 1.3401, colRisk: 20.240, smoothness: 2.4004, disVar: 0.0016}
{name:20240911-223049     , testing: False, dynLoss: 1.2998, colRisk: 16.442, smoothness: 1.4539, disVar: 0.0069}
{name:3rdLeft-Col         , testing: False, dynLoss: 1.0812, colRisk: 24.219, smoothness: 2.3071, disVar: 0.0087}
{name:20240911-221929     , testing: False, dynLoss: 0.8375, colRisk: 3.5467, smoothness: 7.9054, disVar: 0.0006}
{name:cafeCorner2         , testing: False, dynLoss: 0.4007, colRisk: 12.510, smoothness: 2.5531, disVar: 0.0024}
{name:2ndRight            , testing: False, dynLoss: 1.1925, colRisk: 20.999, smoothness: 2.1535, disVar: 0.0041}
{name:4                   , testing: False, dynLoss: 1.9972, colRisk: 22.020, smoothness: 1.7519, disVar: 0.0684}
{name:car1                , testing: False, dynLoss: 0.6540, colRisk: 23.432, smoothness: 1.0460, disVar: 0.0096}
{name:car3                , testing: False, dynLoss: 1.1877, colRisk: 7.2559, smoothness: 7.1894, disVar: 0.0013}
{name:test1               , testing: True, dynLoss: 1.0601, colRisk: 6.0289, smoothness: 9.2711, disVar: 0.0012}
{name:20240911-221617     , testing: False, dynLoss: 0.7324, colRisk: 16.025, smoothness: 2.9369, disVar: 0.0023}
{name:2ndLeft2            , testing: True, dynLoss: 1.5286, colRisk: 9.7861, smoothness: 2.6181, disVar: 0.0018}
{name:3rdLeft2-Col        , testing: False, dynLoss: 1.4194, colRisk: 9.3916, smoothness: 2.9007, disVar: 0.0175}
Epoch 0 done at 2024-09-12-13-18-34 {name:2ndLeft1            , testing: False, dynLoss: 1.0551, colRisk: 5.7687, smoothness: 2.2375, disVar: 0.0319}
{name:20240911-222121     , testing: False, dynLoss: 0.8495, colRisk: 4.2006, smoothness: 3.6037, disVar: 0.0018}
{name:20240911-222405     , testing: False, dynLoss: 1.6204, colRisk: 8.3989, smoothness: 2.4303, disVar: 0.0132}
{name:2ndLeft3            , testing: False, dynLoss: 0.9242, colRisk: 16.154, smoothness: 8.7236, disVar: 0.0044}
{name:2ndStair-uneven     , testing: True, dynLoss: 1.5174, colRisk: 9.0713, smoothness: 0.0001, disVar: 0.0899}
{name:2                   , testing: True, dynLoss: 2.4693, colRisk: 14.041, smoothness: 8.2844, disVar: 0.0031}
{name:20240911-221513     , testing: False, dynLoss: 1.2127, colRisk: 12.204, smoothness: 1.6344, disVar: 0.0037}
{name:cafeCorner1         , testing: False, dynLoss: 1.1519, colRisk: 7.1471, smoothness: 4.1526, disVar: 0.0154}
{name:atrium2             , testing: False, dynLoss: 0.8476, colRisk: 11.163, smoothness: 2.0619, disVar: 0.0058}
{name:test2               , testing: True, dynLoss: 1.5150, colRisk: 5.9179, smoothness: 1.8447, disVar: 0.0194}
