{name:2ndLeft1            , testing: False, dynLoss: 0.9791, colRisk: 4.9849, smoothness: 2.0275, disVar: 0.0205}
{name:20240911-222121     , testing: False, dynLoss: 0.8636, colRisk: 5.7211, smoothness: 4.1905, disVar: 0.0016}
{name:20240911-222405     , testing: False, dynLoss: 1.5455, colRisk: 7.3753, smoothness: 4.2053, disVar: 0.0103}
{name:2ndLeft3            , testing: False, dynLoss: 1.1182, colRisk: 12.405, smoothness: 1.2895, disVar: 0.0054}
{name:2ndStair-uneven     , testing: True, dynLoss: 1.5035, colRisk: 10.145, smoothness: 0.0002, disVar: 0.0903}
{name:2                   , testing: True, dynLoss: 2.5092, colRisk: 13.627, smoothness: 8.3809, disVar: 0.0031}
{name:20240911-221513     , testing: False, dynLoss: 0.9308, colRisk: 11.457, smoothness: 1.8083, disVar: 0.0029}
{name:cafeCorner1         , testing: False, dynLoss: 1.1099, colRisk: 8.0908, smoothness: 4.1998, disVar: 0.0163}
{name:atrium2             , testing: False, dynLoss: 0.9693, colRisk: 7.9167, smoothness: 2.9532, disVar: 0.0119}
{name:test2               , testing: True, dynLoss: 1.6121, colRisk: 2.6693, smoothness: 1.8120, disVar: 0.0195}
{name:0                   , testing: False, dynLoss: 0.8847, colRisk: 37.364, smoothness: 0.0004, disVar: 0.0519}
{name:3                   , testing: False, dynLoss: 2.2544, colRisk: 9.0657, smoothness: 1.8107, disVar: 0.2058}
{name:atrium1             , testing: False, dynLoss: 1.1685, colRisk: 8.4423, smoothness: 1.1473, disVar: 0.0029}
{name:20240911-222200     , testing: False, dynLoss: 0.3111, colRisk: 6.5910, smoothness: 2.0077, disVar: 0.0003}
{name:1                   , testing: False, dynLoss: 2.1371, colRisk: 21.487, smoothness: 1.3378, disVar: 0.0565}
{name:20240911-222757     , testing: False, dynLoss: 0.8057, colRisk: 4.3341, smoothness: 2.8384, disVar: 0.0030}
{name:car2                , testing: False, dynLoss: 1.1413, colRisk: 13.310, smoothness: 1.1704, disVar: 0.0021}
{name:20240911-221834     , testing: False, dynLoss: 0.9963, colRisk: 12.163, smoothness: 1.5797, disVar: 0.0013}
{name:20240911-223049     , testing: False, dynLoss: 1.3396, colRisk: 6.5283, smoothness: 1.1157, disVar: 0.0064}
{name:3rdLeft-Col         , testing: False, dynLoss: 0.8955, colRisk: 10.015, smoothness: 2.3710, disVar: 0.0184}
{name:20240911-221929     , testing: False, dynLoss: 0.6028, colRisk: 4.1035, smoothness: 7.0227, disVar: 0.0006}
{name:cafeCorner2         , testing: False, dynLoss: 0.4831, colRisk: 10.981, smoothness: 2.6909, disVar: 0.0038}
