{name:2ndLeft1            , testing: False, dynLoss: 0.9087, colRisk: 9.7037, smoothness: 3.3327, disVar: 0.0309}
{name:20240911-222121     , testing: False, dynLoss: 1.0972, colRisk: 7.9348, smoothness: 2.7655, disVar: 0.0012}
{name:20240911-222405     , testing: False, dynLoss: 1.5627, colRisk: 8.0550, smoothness: 3.4998, disVar: 0.0127}
{name:2ndLeft3            , testing: False, dynLoss: 1.0138, colRisk: 19.096, smoothness: 1.5774, disVar: 0.0059}
{name:2ndStair-uneven     , testing: True, dynLoss: 1.4840, colRisk: 11.969, smoothness: 0.0001, disVar: 0.0898}
{name:2                   , testing: True, dynLoss: 2.4366, colRisk: 21.522, smoothness: 7.8811, disVar: 0.0032}
{name:20240911-221513     , testing: False, dynLoss: 1.0321, colRisk: 12.345, smoothness: 1.0447, disVar: 0.0026}
{name:cafeCorner1         , testing: False, dynLoss: 0.9794, colRisk: 9.6925, smoothness: 4.3746, disVar: 0.0163}
{name:atrium2             , testing: False, dynLoss: 0.9998, colRisk: 20.394, smoothness: 1.8858, disVar: 0.0080}
{name:test2               , testing: True, dynLoss: 1.2860, colRisk: 4.4698, smoothness: 1.7168, disVar: 0.0191}
{name:0                   , testing: False, dynLoss: 0.7416, colRisk: 34.246, smoothness: 1.6395, disVar: 0.0496}
{name:3                   , testing: False, dynLoss: 2.4265, colRisk: 3.0419, smoothness: 1.5115, disVar: 0.1934}
{name:atrium1             , testing: False, dynLoss: 0.8432, colRisk: 12.987, smoothness: 8.3808, disVar: 0.0035}
{name:20240911-222200     , testing: False, dynLoss: 0.2216, colRisk: 6.5640, smoothness: 1.4715, disVar: 0.0002}
{name:1                   , testing: False, dynLoss: 1.9993, colRisk: 42.071, smoothness: 3.0982, disVar: 0.0373}
{name:20240911-222757     , testing: False, dynLoss: 0.4884, colRisk: 9.2939, smoothness: 2.4294, disVar: 0.0019}
{name:car2                , testing: False, dynLoss: 0.9973, colRisk: 15.248, smoothness: 6.9097, disVar: 0.0023}
{name:20240911-221834     , testing: False, dynLoss: 1.0997, colRisk: 19.599, smoothness: 1.9929, disVar: 0.0008}
{name:20240911-223049     , testing: False, dynLoss: 1.1218, colRisk: 13.918, smoothness: 1.0393, disVar: 0.0043}
{name:3rdLeft-Col         , testing: False, dynLoss: 0.9432, colRisk: 20.907, smoothness: 2.5688, disVar: 0.0229}
{name:20240911-221929     , testing: False, dynLoss: 0.5359, colRisk: 4.0086, smoothness: 6.8525, disVar: 0.0004}
{name:cafeCorner2         , testing: False, dynLoss: 0.3056, colRisk: 11.982, smoothness: 3.2841, disVar: 0.0034}
{name:2ndRight            , testing: False, dynLoss: 0.8480, colRisk: 21.085, smoothness: 1.8276, disVar: 0.0043}
{name:4                   , testing: False, dynLoss: 1.8376, colRisk: 18.624, smoothness: 1.5004, disVar: 0.0549}
{name:car1                , testing: False, dynLoss: 0.9091, colRisk: 20.878, smoothness: 1.7168, disVar: 0.0192}
{name:car3                , testing: False, dynLoss: 0.5972, colRisk: 8.4734, smoothness: 5.8106, disVar: 0.0014}
{name:test1               , testing: True, dynLoss: 0.8140, colRisk: 5.8537, smoothness: 7.5648, disVar: 0.0010}
